Straße,Hausnummer,Postleitzahl,Ort,Bundesland,latitude,longitude,commissioning_date
Schlangenbader Str.,26,14197,Berlin,Berlin,52.472172,13.308104,2015
Brielowerstr.,32,14770,Brandenburg,Brandenburg,,,2015
Wittelsbacherstr.,19,10707,Berlin,Berlin,52.495371,13.308887,2015
Rudolstädter Str.,123,10713,Berlin,Berlin,52.487809,13.302828,2015
Aachener Str.,5,10713,Berlin,Berlin,52.481323,13.318856,2015
Frankfurter Ring,35,80807,München,Bayern,48.18836,11.57445,2015
Waitzstr.,7,10629,Berlin,Berlin,52.501687,13.305567,2015
Pestalozzistr.,44,10627,Berlin,Berlin,52.5337,13.414964,2015
Suarezstr.,1,10627,Berlin,Berlin,52.510481,13.296954,2015
Augsburger Straße,49,89312,Günzburg,Bayern,48.45308,10.28582,2015
Mauergasse,0,55566,Bad Sobernheim,Rheinland-Pfalz,49.78581,7.64827,2015
Engelgasse,8,92360,Mühlhausen,Bayern,49.181696,11.414269,2015
Marktplatz,27,92342,Freystadt,Bayern,49.198744,11.328916,2015
Im Bache,21,37120,Bovenden,Niedersachsen,,,2015
Schlüterstr.,62,10625,Berlin,Berlin,52.505876,13.317669,2015
Schiede,41,65549,Limburg,Hessen,,,2015
Eupener Straße,70,52066,Aachen,Nordrhein-Westfalen,50.759245,6.084423,2015
Am Bahnhof,0,14974,Ludwigsfelde,Brandenburg,52.29896,13.2667,2015
Uhlandstr.,61,10719,Berlin,Berlin,52.494521,13.323631,2015
Durlacher Str.,35,10715,Berlin,Berlin,52.481312,13.329605,2015
Diebacher Straße,4,91610,Insingen,Bayern,49.303938,10.16661,2015
Osnabrücker Str.,26,10589,Berlin,Berlin,52.525864,13.301083,2015
Fasanenstr.,88,10623,Berlin,Berlin,52.510247,13.329894,2015
Osteroder Straße,3,37412,Herzberg am Harz,Niedersachsen,51.6557,10.33391,2015
Am Olympiapark,1,80809,München,Bayern,48.177711,11.556978,2015
Am Olympiapark,1,80809,München,Bayern,48.177711,11.556978,2015
Am Olympiapark,1,80809,München,Bayern,48.177711,11.556978,2015
