Unnamed: 0,NLP_01-01-17,SLP_01-01-17,total_01-01-17,NLP_01-01-18,SLP_01-01-18,total_01-01-18,NLP_01-01-19,SLP_01-01-19,total_01-01-19,NLP_01-01-20,SLP_01-01-20,total_01-01-20,NLP_01-01-21,SLP_01-01-21,total_01-01-21,NLP_01-01-22,SLP_01-01-22,total_01-01-22,NLP_01-01-23,SLP_01-01-23,total_01-01-23,NLP_01-01-24,SLP_01-01-24,total_01-01-24
Baden-Württemberg,766,159,925,1131,241,1372,2342,455,2797,4011,704,4715,6135,1116,7251,9329,1539,10868,14528,2285,16813,19846,3512,23358
Bayern,1332,226,1558,2152,363,2515,3932,539,4471,6027,764,6791,8607,1213,9820,11385,1893,13278,15516,2821,18337,21198,5052,26250
Berlin,491,16,507,615,26,641,711,46,757,954,85,1039,1589,152,1741,1854,241,2095,2169,353,2522,3825,588,4413
Brandenburg,34,8,42,92,28,120,284,61,345,506,94,600,747,181,928,1160,251,1411,1437,419,1856,2463,759,3222
Bremen,10,0,10,67,4,71,108,16,124,248,36,284,309,48,357,368,50,418,541,72,613,712,112,824
Hamburg,314,13,327,623,62,685,838,79,917,1066,110,1176,1199,190,1389,1428,221,1649,1887,328,2215,2267,484,2751
Hessen,362,54,416,745,141,886,1361,231,1592,1791,311,2102,2464,469,2933,4045,647,4692,5932,1032,6964,7813,1823,9636
Mecklenburg-Vorpommern,57,16,73,111,28,139,179,43,222,257,60,317,412,96,508,634,154,788,843,237,1080,1254,427,1681
Niedersachsen,496,65,561,870,214,1084,1700,327,2027,2679,486,3165,3730,755,4485,5210,1110,6320,7241,1627,8868,9672,2931,12603
Nordrhein-Westfalen,1288,82,1370,1734,175,1909,2956,369,3325,4998,585,5583,6968,940,7908,10060,1581,11641,14296,2517,16813,19267,4406,23673
Rheinland-Pfalz,179,30,209,273,75,348,627,204,831,1012,311,1323,1453,436,1889,1848,595,2443,2546,828,3374,3526,1525,5051
Saarland,18,0,18,34,6,40,64,19,83,170,35,205,296,49,345,459,65,524,638,117,755,839,205,1044
Sachsen,195,8,203,245,62,307,428,104,532,894,260,1154,1310,371,1681,2017,502,2519,2840,750,3590,3755,1144,4899
Sachsen-Anhalt,53,40,93,125,65,190,255,83,338,439,125,564,624,171,795,834,299,1133,1025,421,1446,1471,667,2138
Schleswig-Holstein,233,27,260,449,103,552,817,151,968,1227,214,1441,1758,313,2071,2365,462,2827,3052,677,3729,4177,1114,5291
Thüringen,87,30,117,288,75,363,455,122,577,577,159,736,737,235,972,954,338,1292,1315,493,1808,1786,836,2622
Summe,5915,774,6689,9554,1668,11222,17057,2849,19906,26856,4339,31195,38338,6735,45073,53950,9948,63898,75806,14977,90783,103871,25585,129456
