Unnamed: 0,kW_total_01-01-17,kW_per_cp_01-01-17,kW_total_01-01-18,kW_per_cp_01-01-18,kW_total_01-01-19,kW_per_cp_01-01-19,kW_total_01-01-20,kW_per_cp_01-01-20,kW_total_01-01-21,kW_per_cp_01-01-21,kW_total_01-01-22,kW_per_cp_01-01-22,kW_total_01-01-23,kW_per_cp_01-01-23,kW_total_01-01-24,kW_per_cp_01-01-24
Baden-Württemberg,20070.9,21.69827027027027,30121.9,21.95473760932945,76353.59999999998,27.29839113335716,123745.0,26.244962884411454,198407.09999999998,27.362722383119568,287826.0000000018,26.48380566801636,466934.4399999984,27.772226253494225,710831.9199999977,30.43205411422201
Bayern,30487.500000000004,19.568356867779208,50863.9,20.224214711729623,95357.30000000002,21.327957951241338,178501.22,26.284968340450597,254538.1200000067,25.92037881873795,359054.9200000133,27.041340563338856,525785.8700000129,28.673494573813215,928274.2699999285,35.36282933333061
Berlin,7782.4,15.34990138067061,9678.199999999997,15.098595943837749,12249.699999999997,16.181902245706734,17225.499999999996,16.578922040423482,28386.00000000001,16.304422745548543,40663.29999999994,19.40968973747014,58712.19999999998,23.280015860428225,100048.85000000057,22.67139134375721
Brandenburg,808.2,19.242857142857144,2766.2,23.051666666666666,8108.2,23.502028985507245,16375.2,27.292,30470.2,32.83426724137931,44888.399999999914,31.81318214032595,69172.5999999999,37.26971982758616,138408.55000000016,42.95734016139049
Bremen,182.0,18.2,1622.0,22.845070422535212,2908.0,23.451612903225808,6516.0,22.943661971830984,8405.0,23.54341736694678,9548.400000000001,22.84306220095694,15344.400000000003,25.03164763458402,22198.0,26.939320388349515
Hamburg,6891.3,21.074311926605507,15382.300000000001,22.455912408759126,20548.300000000003,22.40817884405671,27257.300000000003,23.177976190476194,37337.3,26.880705543556516,44220.89999999998,26.816798059429946,66227.84999999999,29.89970654627539,95056.65000000001,34.55348964013086
Hessen,8588.2,20.64471153846154,19940.730000000003,22.506467268623027,37814.42999999999,23.75278266331658,58804.129999999976,27.9753235014272,87679.12999999998,29.894009546539372,129601.93000000024,27.621894714407553,200326.6800000005,28.766036760482553,341091.1900000005,35.39759132420097
Mecklenburg-Vorpommern,1583.4,21.69041095890411,3260.1,23.453956834532374,5177.099999999999,23.320270270270267,9383.099999999999,29.599684542586747,14408.1,28.36240157480315,25126.399999999976,31.886294416243626,38566.29999999998,35.709537037037016,77099.94999999995,45.86552647233787
Niedersachsen,12803.7,22.82299465240642,26500.100000000002,24.44658671586716,47919.50000000001,23.640601874691665,92712.29999999989,29.292985781990485,136113.2599999998,30.348552954292042,203687.95999999938,32.22910759493661,303565.73999999906,34.231589986468094,505619.5100000007,40.11898040149176
Nordrhein-Westfalen,28753.199999999997,20.98773722627737,41375.200000000004,21.67375589313777,76103.29999999999,22.888210526315785,143038.44,25.62035464803869,214938.94000000006,27.179936772888222,329769.0899999981,28.32824413710146,506370.3399999965,30.11778623684033,807344.5299999957,34.10402272631249
Rheinland-Pfalz,4791.4,22.92535885167464,8528.4,24.506896551724136,24999.600000000006,30.083754512635387,46602.69999999999,35.22501889644746,64086.599999999984,33.92620434092112,86410.1000000001,35.37048710601723,120283.60000000005,35.65014819205692,238097.80000000025,47.13874480300935
Saarland,396.0,22.0,1005.0,25.125,2181.0,26.27710843373494,5448.0,26.57560975609756,8859.7,25.680289855072466,12924.100000000004,24.664312977099243,20597.599999999995,27.281589403973502,32992.7,31.6022030651341
Sachsen,4036.7999999999997,19.885714285714286,7446.799999999999,24.256677524429964,12411.8,23.330451127819547,34038.100000000006,29.495753899480075,50595.49999999991,30.098453301606135,72949.0999999998,28.959547439460025,116920.50000000023,32.56838440111427,171707.76000000077,35.04955296999403
Sachsen-Anhalt,2934.7,31.555913978494623,5296.7,27.87736842105263,9812.7,29.03165680473373,16883.8,29.93581560283688,23872.8,30.02867924528302,42435.69999999994,37.45428067078547,58809.59999999994,40.6705394190871,98175.70000000011,45.919410664172176
Schleswig-Holstein,5102.3,19.62423076923077,12501.0,22.64673913043478,24685.0,25.501033057851238,37301.700000000004,25.885981956974327,55599.600000000006,26.846740704973445,79775.99999999994,28.219313760169772,116432.00000000009,31.22338428533121,184782.95000000004,34.92401247401248
Thüringen,2864.4,24.482051282051284,8043.4,22.158126721763086,14163.4,24.546620450606586,23023.4,31.281793478260873,30791.800000000003,31.678806584362142,44050.89999999995,34.09512383900925,64426.77999999995,35.6342809734513,117536.56000000011,44.82706331045008
Summe,138076.39999999997,,244331.93000000002,,470792.93000000005,,836855.8899999999,,1244489.1500000067,,1812933.2000000128,,2748476.5000000075,,4569266.889999925,
