brand_model,total_2015,of_which_diesel_2015,total_2016,of_which_diesel_2016,total_2017,of_which_diesel_2017,of_which_hybrid_2017,of_which_electric_2017,total_2018,of_which_diesel_2018,of_which_hybrid_2018,of_which_electric_2018,total_2019,of_which_diesel_2019,of_which_hybrid_2019,of_which_electric_2019,total_2020,of_which_diesel_2020,of_which_hybrid_2020,of_which_electric_2020,total_2021,of_which_diesel_2021,of_which_hybrid_2021,of_which_electric_2021,total_2022,of_which_diesel_2022,of_which_hybrid_2022,of_which_electric_2022,total_2023,of_which_diesel_2023,of_which_hybrid_2023,of_which_electric_2023
AUDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUDI A1, S1",24675,6725,25112,4476,21458,2588,0,0,21458,2254,0,0,18503,0,0,0,13824,0,0,121,11063,0,0,38,11969,0,0,0,15797,0,0,0
"AUDI A3, S3, RS3",57858,27333,57176,26260,49820,17593,4454,0,49820,14477,1682,0,42609,11330,69,0,34098,8022,11973,0,28494,5806,17082,0,35052,8484,16894,0,34686,8293,14186,0
"AUDI A4, S4, RS4",52493,44229,61597,52053,59469,44052,2748,0,59469,32864,8287,0,50740,31753,17261,0,35841,13161,21738,0,23767,796,22169,0,24790,0,24047,0,35905,0,34554,0
"AUDI A5, S5, RS5",17664,12567,20576,14450,21671,11204,1928,0,21671,8505,7205,0,16444,8127,7152,0,11139,3860,5855,0,8753,288,7435,0,9486,0,8290,0,10792,0,9106,0
"AUDI A6, S6, RS6",44095,40480,41341,37400,38856,34235,0,0,38856,22174,10209,0,44037,1702,42232,0,31400,44,31314,0,26260,27,26171,0,25403,50,25279,0,30580,36,30482,0
"AUDI A7, S7, RS7",4129,3422,3231,2597,1911,1486,0,0,1911,647,3781,0,3454,50,3370,0,2447,13,2413,0,1817,0,1801,0,1470,0,1448,0,2241,0,2232,0
"AUDI A8, S8",3593,2889,2688,1929,3966,1414,990,0,3966,46,2591,0,2533,29,2436,0,2306,16,2208,0,1850,0,1759,0,2082,0,2030,0,2469,0,2452,0
E-TRON,0,0,0,0,0,0,0,0,0,0,0,0,3578,0,0,3578,8135,0,0,8135,8691,0,0,8691,13232,0,0,13232,0,0,0,0
E-TRON GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,1591,2202,0,0,2202,2051,0,0,2051
AUDI Q2,0,0,2205,1152,23147,6473,0,0,23147,5487,0,0,20203,4664,0,0,13251,2736,0,0,10525,1662,0,0,10891,2531,0,0,17361,4554,0,0
AUDI Q3,24110,15456,27169,15102,21020,8893,0,0,21020,5841,0,0,24460,6283,138,0,25307,8320,6074,0,24346,7506,11165,0,28912,9456,12723,0,26720,10559,2687,0
Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470,0,0,4470,12406,0,0,12406,18061,0,0,18061
AUDI Q5,21379,20182,26727,24760,23663,18752,88,0,23663,13216,0,0,22210,16546,5129,0,20395,5182,15148,0,17841,151,17615,0,23706,0,23670,0,24395,0,24369,0
AUDI Q7,8402,7657,11815,10404,10212,9487,680,0,10212,6470,1322,0,5709,1271,4359,0,6449,1991,4395,0,4488,357,3644,0,3823,0,3192,0,4418,34,3603,0
Q8,0,0,0,0,0,0,0,0,0,48,2205,0,6407,39,6328,0,5294,32,5171,0,4849,0,4278,0,4370,0,3371,21,16843,0,5447,9967
AUDI R8,657,0,783,0,803,0,0,0,803,0,0,0,668,0,0,0,488,0,0,0,463,0,0,0,311,0,0,0,292,0,0,0
AUDI TT,8253,1361,7356,551,5739,419,0,0,5739,133,0,0,5081,0,0,0,3243,0,0,0,2368,0,0,0,2345,0,0,0,2879,0,0,0
OTHER,1739,784,1841,757,1461,488,110,115,1461,392,29,982,559,95,44,1,317,96,6,100,241,0,0,143,960,109,77,458,1390,202,189,514
audi_together,269047,183085,289617,191891,283196,157084,10998,115,283196,112554,37311,982,267195,81889,88518,3579,213934,43473,106295,8356,181877,16660,113123,14937,213410,20699,121021,28322,246880,23721,129307,30596
BMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA B3,80,0,91,0,60,0,0,0,60,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA B4,103,0,91,0,67,0,0,0,67,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA B6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA D3,140,140,139,139,85,85,0,0,85,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA D5 BITURBO,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINA XD3 BITURBO,127,127,137,137,87,87,0,0,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,1176,4497,0,0,4497,5094,0,0,5094
IX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71,2983,0,0,2983,0,0,0,0,0,0,0,0
BMW I3,2271,0,2863,0,4319,0,1528,2791,4319,0,1303,3792,9382,0,265,9117,8633,0,0,8629,12181,0,0,12178,9851,0,0,9850,0,0,0,0
BMW I8,393,0,243,0,273,0,273,0,273,0,465,0,350,0,350,0,276,0,276,0,37,0,37,0,0,0,0,0,0,0,0,0
BMW X1,16406,13431,28400,19132,35016,19815,0,0,35016,14518,0,0,36109,15734,29,0,28551,10776,4717,0,25486,7651,8791,0,20029,5120,7380,884,37267,3279,15059,14694
X2,0,0,0,0,244,186,0,0,244,4741,0,0,13174,5187,30,0,9910,3425,438,0,8097,2522,1473,0,6044,1867,1299,0,4646,1522,649,49
BMW X3,14862,14052,13756,12836,13568,12140,0,0,13568,14607,53,0,28688,20084,89,0,23351,10852,7170,0,24157,204,19562,0,25922,0,20913,4141,26847,0,20359,5734
BMW X4,5969,5540,6391,5378,5426,4116,0,0,5426,3226,0,0,6988,4248,0,0,5139,1964,1030,0,4359,50,2892,0,4339,0,3934,0,4542,0,4086,0
BMW X5,10685,9970,9393,8503,8386,7229,296,0,8386,7545,177,0,13906,11579,327,0,13134,6088,5408,0,12719,416,11402,0,16259,204,15109,0,12940,80,12281,0
BMW X6,3730,3246,2810,2501,2362,1986,0,0,2362,2166,0,0,1211,1055,0,0,2825,1509,384,0,2698,67,1965,0,2768,0,2163,0,2821,0,2512,0
X7,0,0,0,0,0,0,0,0,0,0,0,0,1787,1249,0,0,1787,1116,259,0,1501,103,1158,0,1637,0,1408,0,2903,0,2885,0
XM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,0,883,0
BMW Z4,1475,0,967,0,0,0,0,0,0,0,0,0,4714,0,0,0,4321,0,0,0,4105,0,0,0,3365,0,0,0,3292,0,0,0
BMW 1ER,46340,21131,46632,18840,45699,15101,0,0,45699,10464,0,0,31901,7911,0,0,32831,8635,0,0,26081,5317,0,0,17516,3637,0,0,20485,3643,0,0
