federal_state,2017,2018,2019,2020,2021,2022,2023,2024
Baden-Württemberg,766,1131,2342,4011,6135,9329,14528,19846
Bayern,1332,2152,3932,6027,8607,11385,15516,21198
Berlin,491,615,711,954,1589,1854,2169,3825
Brandenburg,34,92,284,506,747,1160,1437,2463
Bremen,10,67,108,248,309,368,541,712
Hamburg,314,623,838,1066,1199,1428,1887,2267
Hessen,362,745,1361,1791,2464,4045,5932,7813
Mecklenburg-Vorpommern,57,111,179,257,412,634,843,1254
Niedersachsen,496,870,1700,2679,3730,5210,7241,9672
Nordrhein-Westfalen,1288,1734,2956,4998,6968,10060,14296,19267
Rheinland-Pfalz,179,273,627,1012,1453,1848,2546,3526
Saarland,18,34,64,170,296,459,638,839
Sachsen,195,245,428,894,1310,2017,2840,3755
Sachsen-Anhalt,53,125,255,439,624,834,1025,1471
Schleswig-Holstein,233,449,817,1227,1758,2365,3052,4177
Thüringen,87,288,455,577,737,954,1315,1786
