uuid,name,brand,street,house_number,post_code,city,latitude,longitude
232e6c52-2ef8-4bb6-b532-58b250f11fff,Aral Tankstelle,ARAL,Kreisstr.,92,59379,Selm,51.68615,7.467548
ca971719-88cc-4c06-9886-14ad1b385213,Aral Tankstelle,ARAL,Brechtstraße,12,45739,Oer-Erkenschwick,51.64058,7.254754
ca9658b4-aa5f-4a51-b1fa-a8d9d8f8166d,Aral Tankstelle,ARAL,Friedr.-Engels-Allee,237,42285,Wuppertal,51.2634277,7.177795
ca944555-1ee4-4228-979d-8313690ae950,Aral Tankstelle,ARAL,Reutlinger Straße,72,72072,Tübingen,48.51295,9.073625
ca9424ce-0a27-4180-af66-8376199788e4,Aral Tankstelle,ARAL,Thomas-Müntzer-Strasse,2,06217,Merseburg,51.34279,11.9892
f1e5a474-07f2-4f4d-a827-f9d7a4fded77,Esso Tankstelle,ESSO,OSNABRUECKER STR. 79, ,49448,HUEDE,52.495059,8.363934
ca6a2c98-d5a3-437e-9d7b-1e810649f328,Aral Tankstelle,ARAL,Illertisser Straße,40,89165,Dietenheim,48.21049,10.0773649
ca5c668f-c954-43a2-a258-cbf9ef889227,Aral Tankstelle,ARAL,Hannoversche Straße,142,28309,Bremen,53.0484276,8.89153
dec4640a-1fbd-4e24-a96e-9e8be7cc041d,Esso Tankstelle,ESSO,VARRESBECKER STR. 100, ,42115,WUPPERTAL,51.250863,7.103818
d812b37e-96f4-4504-b60b-c1be308de262,TotalEnergies Ohrenbach West,TotalEnergies,BAB A7 Ohrenbach West,,91620,Ohrenbach,49.485222,10.210361
ca4d83fb-7950-4b42-94a9-7a1ab5628257,Aral Tankstelle,ARAL,Hedemündener Straße,10,34346,Hann. Münden,51.41784,9.667729
ca1e8165-94ab-4b5f-9635-5117d5aebac5,Aral Tankstelle,ARAL,Dubelohstraße,143,33104,Paderborn,51.7456779,8.731283
506dc7fe-a405-420c-a539-6f86cbc7ec02,TotalEnergies Freiburg,TotalEnergies,Gundelfinger Str. ,27,79108,Freiburg,48.030304,7.862799
ca388b34-fc83-4562-8da6-03a95cd6206c,Esso Tankstelle,ESSO,NUTZHORNER LANDSTR. 32, ,27777,GANDERKESEE,53.088509,8.583224
5070a555-97e6-4a79-ad92-424dcaa955ef,Shell Osnabrueck Professor-Porsche-Str. ,Shell,Professor-Porsche-Str.,,49076,Osnabrueck,52.301601,7.950067
507e6415-581e-44f8-b090-11d9e1b7af11,AVIA Tankstelle,AVIA,Am Wallgraben,78,70565,Stuttgart-Vaihingen,48.72771,9.123991
508b3eb0-66ba-4114-bbd1-bd02129a2de6,Esso Tankstelle,ESSO,SYKER STR. 14, ,27305,BRUCHHAUSEN-VILSEN,52.812099,8.959505
c9ec7136-9611-4853-8d16-17f5127c2ea3,Aral Tankstelle,ARAL,Robert-Koch-Straße,1,38642,Goslar,51.9220047,10.4380655
c9dfda88-c60d-412b-8ea3-9a50b4660120,Esso Tankstelle,ESSO,HAUPTSTR. 4, ,37619,HEHLEN,51.98492836,9.47756537
c9dc3f9b-e10a-47b4-a3fe-451b2cb1daad,Aral Tankstelle,ARAL,Frankfurter Allee,214,10365,Berlin,52.51144,13.4938612
c9c65c49-d165-4b5e-82a3-a2d2e2a47e50,TotalEnergies Artern,TotalEnergies,Sangerhaeuser Str. ,35,06556,Artern,51.364087,11.287002
c9c0ebcc-5e86-4e4c-8d59-f985c9b2121c,TotalEnergies Walldorf,TotalEnergies,Bahnhofstr. ,35,69190,Walldorf,49.30046,8.645012
c9beb93a-82c3-45e5-a50a-7021e4cc44eb,Aral Tankstelle,ARAL,Hauptstraße,263,89343,Jettingen-Scheppach,48.40945,10.4447412
c9b22938-d185-4091-9e4f-fc4e48fc35b3,TotalEnergies Elxleben,TotalEnergies,Osterlange ,1,99189,Elxleben,51.048005,10.942121
c9ac1f77-f401-4437-9211-d9446d291f4f,Shell Wendeburg A2 Zweidorfer Holz Nord,Shell,A2 Zweidorfer Holz Nord,,38176,Wendeburg,52.340543,10.359544
c983f99c-871f-4764-ab60-3580ef82e286,Esso Tankstelle,ESSO,STEINWEG 6, ,34587,FELSBERG,51.13475081,9.425959875
50b797b5-77d3-4fba-9fa7-ee3670ac37c6,Shell Juelich Neusser Str. 74,Shell,Neusser Str.,74,52428,Juelich,50.928244,6.366592
