federal_state,2017,2018,2019,2020,2021,2022,2023,2024
Baden-Württemberg,925,1372,2797,4715,7251,10868,16813,23358
Bayern,1558,2515,4471,6791,9820,13278,18337,26250
Berlin,507,641,757,1039,1741,2095,2522,4413
Brandenburg,42,120,345,600,928,1411,1856,3222
Bremen,10,71,124,284,357,418,613,824
Hamburg,327,685,917,1176,1389,1649,2215,2751
Hessen,416,886,1592,2102,2933,4692,6964,9636
Mecklenburg-Vorpommern,73,139,222,317,508,788,1080,1681
Niedersachsen,561,1084,2027,3165,4485,6320,8868,12603
Nordrhein-Westfalen,1370,1909,3325,5583,7908,11641,16813,23673
Rheinland-Pfalz,209,348,831,1323,1889,2443,3374,5051
Saarland,18,40,83,205,345,524,755,1044
Sachsen,203,307,532,1154,1681,2519,3590,4899
Sachsen-Anhalt,93,190,338,564,795,1133,1446,2138
Schleswig-Holstein,260,552,968,1441,2071,2827,3729,5291
Thüringen,117,363,577,736,972,1292,1808,2622
